query,search interest,increase percent,keyword,query_type,window_days,window_start,window_end,logical_name,source_file,ingested_at
data science projects,38,1%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
data science master,81,0%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
master data science,82,-2%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
phd data science,19,-4%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
bocconi,5,-7%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
data science and management,31,-10%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
inpa,6,-10%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
data science cos'è,8,-10%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
master in data science,40,-20%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
msc data science,28,-20%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
data science courses,30,-20%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
data science internship,14,-20%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
machine learning,35,-20%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
